1,Joey Gilleon,Hyderabad,45469.46
2,Valentijn Drable,Pune,46175.54
3,Andie Hazelgrove,Mysore,53740.97
4,Estella Tomanek,Chennai,48567.84
5,Talya Forsaith,Chennai,49831.75
6,Ivette Hands,Bangalore,70035.04
7,Cecil Napier,Pune,67371.47
8,Griswold Edowes,Chennai,69355.19
9,Germain O'Neal,Hyderabad,52657.29
10,Bryant Barnewall,Pune,61033.56
11,Amery Hellyar,Hyderabad,49112.81
12,Teddie Klug,Bangalore,74540.98
13,Katey Rolls,Mumbai,54411.36
14,Iolanthe Patullo,Mysore,68217.94
15,Yancey Oxtarby,Mysore,58573.35
16,Giorgi Da Costa,Mysore,51186.82
17,Casie Fudge,Chennai,65234.27
18,Jana Dillicate,Mumbai,57078.23
19,Natal Nowlan,Chennai,65639.59
20,Brockie Kubec,Chennai,53968.76
21,Alfred Bullcock,Mumbai,73275.76
22,Charlene Gascone,Pune,66128.27
23,Fayth Fresson,Chennai,52994.90
24,Lockwood Yetman,Pune,63455.45
25,Jemimah Edinboro,Mysore,71818.93
26,Timoteo Divers,Bangalore,53210.17
27,Kaylee Kingsnode,Hyderabad,60615.44
28,Cale Jeaneau,Hyderabad,47942.28
29,Else Roydon,Bangalore,55457.46
30,Adaline Miles,Bangalore,63834.96
31,Henrie Parnham,Pune,66709.01
32,Caesar Stroulger,Chennai,59980.53
33,Winston Cannaway,Bangalore,57459.62
34,Yevette Byneth,Mumbai,71521.66
35,Helenka Whitnell,Mumbai,68617.70
36,Regine Perri,Mumbai,50273.17
37,Gay Hiom,Mysore,70254.14
38,Ashleigh Penlington,Mumbai,61673.71
39,Annissa Lewis,Chennai,56138.40
40,Chilton Girauld,Hyderabad,58929.81
41,Jaine Michal,Pune,73913.14
42,Leonardo Giddons,Hyderabad,66314.38
43,Mace Ebbins,Mumbai,57470.95
44,Chen Dawtry,Pune,57763.85
45,Lainey Parry,Bangalore,48537.08
46,Becka Dingle,Mumbai,57972.75
47,Vannie O'Kinedy,Pune,69173.15
48,Moishe Chaimson,Mysore,68258.94
49,Beverie Absolem,Bangalore,54033.46
50,Caroljean Pilbury,Pune,70267.08
51,Irena Vatcher,Hyderabad,67479.47
52,Lin Le Brom,Bangalore,45772.46
53,Charlene Zorzutti,Hyderabad,56180.45
54,Godfree De la Feld,Hyderabad,71419.00
55,Jemmie Antosik,Mumbai,68879.23
56,Marcello Buzzing,Bangalore,50445.17
57,Alvin Lazer,Pune,57672.69
58,Micah Gerdes,Mysore,74064.61
59,Hewie Easdon,Bangalore,65267.15
60,Nikola Jozefczak,Hyderabad,51475.16
61,Garvey Upham,Pune,71098.34
62,Wilfrid Bazell,Bangalore,71957.38
63,Bartholomeus Laws,Hyderabad,64347.48
64,Emilio Huguet,Hyderabad,47466.26
65,Rosella Maitland,Bangalore,70041.50
66,Milly Sprigging,Hyderabad,50115.20
67,Lutero Bladge,Chennai,71737.43
68,Mildrid Kruschov,Bangalore,67709.95
69,Had Scragg,Mumbai,51020.33
70,Doris Keohane,Pune,47505.41
71,Royal Caldwall,Hyderabad,61448.71
72,Alanson Riccardelli,Mumbai,49858.41
73,Stacia Eastope,Chennai,52018.66
74,Page Althrope,Bangalore,65257.13
75,Trey Olivazzi,Hyderabad,62710.30
76,Thor Cornewall,Hyderabad,70925.28
77,Lucita Lumbley,Chennai,70185.08
78,Goddard Rouby,Chennai,53570.14
79,Aundrea Plaister,Pune,66229.39
80,Layla Syfax,Hyderabad,59347.74
81,Mela Ferreri,Bangalore,74513.50
82,Joline Perrins,Pune,68700.22
83,Shaine Ramel,Hyderabad,45597.23
84,Andriana Branni,Chennai,48078.95
85,Jo ann Mcsarry,Hyderabad,51356.59
86,Sanders Jerome,Pune,69207.58
87,Garek Ewbank,Mysore,67642.74
88,Prentice Gowers,Bangalore,74488.21
89,Delcina Burde,Bangalore,63507.02
90,Guenevere Lemm,Chennai,46261.30
91,Gae Ianitti,Mumbai,69127.36
92,Whitney Meryett,Pune,51136.32
93,Brear Akast,Mumbai,52330.01
94,Murry Chantler,Chennai,69312.17
95,Merci Ferenc,Mumbai,69641.30
96,Haroun Denton,Mysore,52111.86
97,Jen Cullen,Bangalore,52795.00
98,Dallis Cescot,Chennai,51201.89
99,Maritsa Eddins,Mysore,74305.10
100,Jodie Lopez,Bangalore,48551.79
